性別,時間軸（年度次）,身長（90～200cm）,高等学校（17歳）
男,2019年度,～90（cm）,－
男,2019年度,91（cm）,－
男,2019年度,92（cm）,－
男,2019年度,93（cm）,－
男,2019年度,94（cm）,－
男,2019年度,95（cm）,－
男,2019年度,96（cm）,－
男,2019年度,97（cm）,－
男,2019年度,98（cm）,－
男,2019年度,99（cm）,－
男,2019年度,100（cm）,－
男,2019年度,101（cm）,－
男,2019年度,102（cm）,－
男,2019年度,103（cm）,－
男,2019年度,104（cm）,－
男,2019年度,105（cm）,－
男,2019年度,106（cm）,－
男,2019年度,107（cm）,－
男,2019年度,108（cm）,－
男,2019年度,109（cm）,－
男,2019年度,110（cm）,－
男,2019年度,111（cm）,－
男,2019年度,112（cm）,－
男,2019年度,113（cm）,－
男,2019年度,114（cm）,－
男,2019年度,115（cm）,－
男,2019年度,116（cm）,－
男,2019年度,117（cm）,－
男,2019年度,118（cm）,－
男,2019年度,119（cm）,－
男,2019年度,120（cm）,－
男,2019年度,121（cm）,－
男,2019年度,122（cm）,－
男,2019年度,123（cm）,－
男,2019年度,124（cm）,－
男,2019年度,125（cm）,－
男,2019年度,126（cm）,－
男,2019年度,127（cm）,－
男,2019年度,128（cm）,－
男,2019年度,129（cm）,－
男,2019年度,130（cm）,－
男,2019年度,131（cm）,－
男,2019年度,132（cm）,－
男,2019年度,133（cm）,－
男,2019年度,134（cm）,－
男,2019年度,135（cm）,－
男,2019年度,136（cm）,－
男,2019年度,137（cm）,－
男,2019年度,138（cm）,－
男,2019年度,139（cm）,－
男,2019年度,140（cm）,－
男,2019年度,141（cm）,－
男,2019年度,142（cm）,－
男,2019年度,143（cm）,－
男,2019年度,144（cm）,－
男,2019年度,145（cm）,－
男,2019年度,146（cm）,0.0
男,2019年度,147（cm）,0.1
男,2019年度,148（cm）,0.1
男,2019年度,149（cm）,0.2
男,2019年度,150（cm）,0.1
男,2019年度,151（cm）,0.4
男,2019年度,152（cm）,0.4
男,2019年度,153（cm）,0.8
男,2019年度,154（cm）,1.1
男,2019年度,155（cm）,1.4
男,2019年度,156（cm）,2.6
男,2019年度,157（cm）,4.7
男,2019年度,158（cm）,6.6
男,2019年度,159（cm）,9.5
男,2019年度,160（cm）,13.5
男,2019年度,161（cm）,16.9
男,2019年度,162（cm）,23.6
男,2019年度,163（cm）,28.4
男,2019年度,164（cm）,36.1
男,2019年度,165（cm）,44.1
男,2019年度,166（cm）,47.8
男,2019年度,167（cm）,58.2
男,2019年度,168（cm）,62.9
男,2019年度,169（cm）,63.2
男,2019年度,170（cm）,72.6
男,2019年度,171（cm）,67.0
男,2019年度,172（cm）,66.1
男,2019年度,173（cm）,65.6
男,2019年度,174（cm）,57.5
男,2019年度,175（cm）,51.0
男,2019年度,176（cm）,44.4
男,2019年度,177（cm）,34.0
男,2019年度,178（cm）,29.0
男,2019年度,179（cm）,22.4
男,2019年度,180（cm）,19.9
男,2019年度,181（cm）,12.9
男,2019年度,182（cm）,11.5
男,2019年度,183（cm）,8.6
男,2019年度,184（cm）,4.5
男,2019年度,185（cm）,3.5
男,2019年度,186（cm）,1.9
男,2019年度,187（cm）,1.8
男,2019年度,188（cm）,1.3
男,2019年度,189（cm）,0.8
男,2019年度,190（cm）,0.3
男,2019年度,191（cm）,0.3
男,2019年度,192（cm）,0.2
男,2019年度,193（cm）,0.2
男,2019年度,194（cm）,0.1
男,2019年度,195（cm）,－
男,2019年度,196（cm）,0.0
男,2019年度,197（cm）,－
男,2019年度,198（cm）,－
男,2019年度,199（cm）,－
男,2019年度,200（cm）～,－
男,2018年度,計,1000.0
男,2018年度,～90（cm）,－
男,2018年度,91（cm）,－
男,2018年度,92（cm）,－
男,2018年度,93（cm）,－
男,2018年度,94（cm）,－
男,2018年度,95（cm）,－
男,2018年度,96（cm）,－
男,2018年度,97（cm）,－
男,2018年度,98（cm）,－
男,2018年度,99（cm）,－
男,2018年度,100（cm）,－
男,2018年度,101（cm）,－
男,2018年度,102（cm）,－
男,2018年度,103（cm）,－
男,2018年度,104（cm）,－
男,2018年度,105（cm）,－
男,2018年度,106（cm）,－
男,2018年度,107（cm）,－
男,2018年度,108（cm）,－
男,2018年度,109（cm）,－
男,2018年度,110（cm）,－
男,2018年度,111（cm）,－
男,2018年度,112（cm）,－
男,2018年度,113（cm）,－
男,2018年度,114（cm）,－
男,2018年度,115（cm）,－
男,2018年度,116（cm）,－
男,2018年度,117（cm）,－
男,2018年度,118（cm）,－
男,2018年度,119（cm）,－
男,2018年度,120（cm）,－
男,2018年度,121（cm）,－
男,2018年度,122（cm）,－
男,2018年度,123（cm）,－
男,2018年度,124（cm）,－
男,2018年度,125（cm）,－
男,2018年度,126（cm）,－
男,2018年度,127（cm）,－
男,2018年度,128（cm）,－
男,2018年度,129（cm）,－
男,2018年度,130（cm）,－
男,2018年度,131（cm）,－
男,2018年度,132（cm）,－
男,2018年度,133（cm）,－
男,2018年度,134（cm）,－
男,2018年度,135（cm）,－
男,2018年度,136（cm）,－
男,2018年度,137（cm）,－
男,2018年度,138（cm）,－
男,2018年度,139（cm）,－
男,2018年度,140（cm）,－
男,2018年度,141（cm）,－
男,2018年度,142（cm）,0.0
男,2018年度,143（cm）,－
男,2018年度,144（cm）,－
男,2018年度,145（cm）,－
男,2018年度,146（cm）,0.0
男,2018年度,147（cm）,－
男,2018年度,148（cm）,0.1
男,2018年度,149（cm）,0.1
男,2018年度,150（cm）,0.1
男,2018年度,151（cm）,0.0
男,2018年度,152（cm）,0.4
男,2018年度,153（cm）,0.7
男,2018年度,154（cm）,1.0
男,2018年度,155（cm）,1.5
男,2018年度,156（cm）,2.5
男,2018年度,157（cm）,4.1
男,2018年度,158（cm）,6.6
男,2018年度,159（cm）,9.9
男,2018年度,160（cm）,12.5
男,2018年度,161（cm）,15.5
男,2018年度,162（cm）,22.8
男,2018年度,163（cm）,30.4
男,2018年度,164（cm）,34.5
男,2018年度,165（cm）,43.1
男,2018年度,166（cm）,48.4
男,2018年度,167（cm）,55.4
男,2018年度,168（cm）,63.5
男,2018年度,169（cm）,67.9
男,2018年度,170（cm）,74.6
男,2018年度,171（cm）,75.8
男,2018年度,172（cm）,66.9
男,2018年度,173（cm）,60.0
男,2018年度,174（cm）,56.3
男,2018年度,175（cm）,52.6
男,2018年度,176（cm）,41.7
男,2018年度,177（cm）,36.0
男,2018年度,178（cm）,28.0
男,2018年度,179（cm）,22.8
男,2018年度,180（cm）,17.9
男,2018年度,181（cm）,13.0
男,2018年度,182（cm）,10.9
男,2018年度,183（cm）,7.3
男,2018年度,184（cm）,5.0
男,2018年度,185（cm）,3.5
男,2018年度,186（cm）,2.5
男,2018年度,187（cm）,1.8
男,2018年度,188（cm）,1.2
男,2018年度,189（cm）,0.6
男,2018年度,190（cm）,0.2
男,2018年度,191（cm）,0.1
男,2018年度,192（cm）,0.2
男,2018年度,193（cm）,0.1
男,2018年度,194（cm）,－
男,2018年度,195（cm）,0.1
男,2018年度,196（cm）,－
男,2018年度,197（cm）,－
男,2018年度,198（cm）,－
男,2018年度,199（cm）,－
男,2018年度,200（cm）～,－
男,2017年度,計,1000.0
男,2017年度,～90（cm）,－
男,2017年度,91（cm）,－
男,2017年度,92（cm）,－
男,2017年度,93（cm）,－
男,2017年度,94（cm）,－
男,2017年度,95（cm）,－
男,2017年度,96（cm）,－
男,2017年度,97（cm）,－
男,2017年度,98（cm）,－
男,2017年度,99（cm）,－
男,2017年度,100（cm）,－
男,2017年度,101（cm）,－
男,2017年度,102（cm）,－
男,2017年度,103（cm）,－
男,2017年度,104（cm）,－
男,2017年度,105（cm）,－
男,2017年度,106（cm）,－
男,2017年度,107（cm）,－
男,2017年度,108（cm）,－
男,2017年度,109（cm）,－
男,2017年度,110（cm）,－
男,2017年度,111（cm）,－
男,2017年度,112（cm）,－
男,2017年度,113（cm）,－
男,2017年度,114（cm）,－
男,2017年度,115（cm）,－
男,2017年度,116（cm）,－
男,2017年度,117（cm）,－
男,2017年度,118（cm）,－
男,2017年度,119（cm）,－
男,2017年度,120（cm）,－
男,2017年度,121（cm）,－
男,2017年度,122（cm）,－
男,2017年度,123（cm）,－
男,2017年度,124（cm）,－
男,2017年度,125（cm）,－
男,2017年度,126（cm）,－
男,2017年度,127（cm）,－
男,2017年度,128（cm）,－
男,2017年度,129（cm）,－
男,2017年度,130（cm）,－
男,2017年度,131（cm）,－
男,2017年度,132（cm）,－
男,2017年度,133（cm）,－
男,2017年度,134（cm）,－
男,2017年度,135（cm）,－
男,2017年度,136（cm）,－
男,2017年度,137（cm）,－
男,2017年度,138（cm）,－
男,2017年度,139（cm）,－
男,2017年度,140（cm）,－
男,2017年度,141（cm）,－
男,2017年度,142（cm）,－
男,2017年度,143（cm）,0.0
男,2017年度,144（cm）,－
男,2017年度,145（cm）,0.1
男,2017年度,146（cm）,－
男,2017年度,147（cm）,0.0
男,2017年度,148（cm）,0.1
男,2017年度,149（cm）,0.0
男,2017年度,150（cm）,0.1
男,2017年度,151（cm）,0.4
男,2017年度,152（cm）,0.6
男,2017年度,153（cm）,0.9
男,2017年度,154（cm）,1.2
男,2017年度,155（cm）,1.9
男,2017年度,156（cm）,2.9
男,2017年度,157（cm）,4.7
男,2017年度,158（cm）,4.2
男,2017年度,159（cm）,9.0
男,2017年度,160（cm）,13.1
男,2017年度,161（cm）,17.3
男,2017年度,162（cm）,25.0
男,2017年度,163（cm）,29.5
男,2017年度,164（cm）,35.1
男,2017年度,165（cm）,42.3
男,2017年度,166（cm）,53.6
男,2017年度,167（cm）,59.2
男,2017年度,168（cm）,59.7
男,2017年度,169（cm）,64.3
男,2017年度,170（cm）,76.4
男,2017年度,171（cm）,68.0
男,2017年度,172（cm）,66.4
男,2017年度,173（cm）,58.4
男,2017年度,174（cm）,56.6
男,2017年度,175（cm）,50.8
男,2017年度,176（cm）,42.0
男,2017年度,177（cm）,37.9
男,2017年度,178（cm）,28.7
男,2017年度,179（cm）,20.0
男,2017年度,180（cm）,20.7
男,2017年度,181（cm）,15.3
男,2017年度,182（cm）,10.3
男,2017年度,183（cm）,8.0
男,2017年度,184（cm）,3.9
男,2017年度,185（cm）,4.0
男,2017年度,186（cm）,2.5
男,2017年度,187（cm）,2.0
男,2017年度,188（cm）,1.4
男,2017年度,189（cm）,0.5
男,2017年度,190（cm）,0.3
男,2017年度,191（cm）,0.1
男,2017年度,192（cm）,0.3
男,2017年度,193（cm）,0.0
男,2017年度,194（cm）,0.0
男,2017年度,195（cm）,－
男,2017年度,196（cm）,－
男,2017年度,197（cm）,－
男,2017年度,198（cm）,－
男,2017年度,199（cm）,－
男,2017年度,200（cm）～,－
男,2016年度,計,1000.0
男,2016年度,～90（cm）,－
男,2016年度,91（cm）,－
男,2016年度,92（cm）,－
男,2016年度,93（cm）,－
男,2016年度,94（cm）,－
男,2016年度,95（cm）,－
男,2016年度,96（cm）,－
男,2016年度,97（cm）,－
男,2016年度,98（cm）,－
男,2016年度,99（cm）,－
男,2016年度,100（cm）,－
男,2016年度,101（cm）,－
男,2016年度,102（cm）,－
男,2016年度,103（cm）,－
男,2016年度,104（cm）,－
男,2016年度,105（cm）,－
男,2016年度,106（cm）,－
男,2016年度,107（cm）,－
男,2016年度,108（cm）,－
男,2016年度,109（cm）,－
男,2016年度,110（cm）,－
男,2016年度,111（cm）,－
男,2016年度,112（cm）,－
男,2016年度,113（cm）,－
男,2016年度,114（cm）,－
男,2016年度,115（cm）,－
男,2016年度,116（cm）,－
男,2016年度,117（cm）,－
男,2016年度,118（cm）,－
男,2016年度,119（cm）,－
男,2016年度,120（cm）,－
男,2016年度,121（cm）,－
男,2016年度,122（cm）,－
男,2016年度,123（cm）,－
男,2016年度,124（cm）,－
男,2016年度,125（cm）,－
男,2016年度,126（cm）,－
男,2016年度,127（cm）,－
男,2016年度,128（cm）,－
男,2016年度,129（cm）,－
男,2016年度,130（cm）,－
男,2016年度,131（cm）,－
男,2016年度,132（cm）,－
男,2016年度,133（cm）,－
男,2016年度,134（cm）,－
男,2016年度,135（cm）,－
男,2016年度,136（cm）,－
男,2016年度,137（cm）,－
男,2016年度,138（cm）,0.0
男,2016年度,139（cm）,－
男,2016年度,140（cm）,－
男,2016年度,141（cm）,－
男,2016年度,142（cm）,－
男,2016年度,143（cm）,－
男,2016年度,144（cm）,－
男,2016年度,145（cm）,－
男,2016年度,146（cm）,0.1
男,2016年度,147（cm）,0.1
男,2016年度,148（cm）,0.1
男,2016年度,149（cm）,0.1
男,2016年度,150（cm）,0.1
男,2016年度,151（cm）,0.3
男,2016年度,152（cm）,0.5
男,2016年度,153（cm）,0.5
男,2016年度,154（cm）,0.7
男,2016年度,155（cm）,1.7
男,2016年度,156（cm）,2.0
男,2016年度,157（cm）,3.7
男,2016年度,158（cm）,4.7
男,2016年度,159（cm）,9.3
男,2016年度,160（cm）,14.0
男,2016年度,161（cm）,17.3
男,2016年度,162（cm）,23.0
男,2016年度,163（cm）,29.7
男,2016年度,164（cm）,37.5
男,2016年度,165（cm）,42.2
男,2016年度,166（cm）,51.5
男,2016年度,167（cm）,55.9
男,2016年度,168（cm）,60.1
男,2016年度,169（cm）,64.6
男,2016年度,170（cm）,74.6
男,2016年度,171（cm）,69.5
男,2016年度,172（cm）,65.2
男,2016年度,173（cm）,63.1
男,2016年度,174（cm）,56.5
男,2016年度,175（cm）,50.4
男,2016年度,176（cm）,45.1
男,2016年度,177（cm）,37.3
男,2016年度,178（cm）,28.4
男,2016年度,179（cm）,22.1
男,2016年度,180（cm）,21.5
男,2016年度,181（cm）,14.6
男,2016年度,182（cm）,11.4
男,2016年度,183（cm）,6.6
男,2016年度,184（cm）,4.2
男,2016年度,185（cm）,3.9
男,2016年度,186（cm）,1.9
男,2016年度,187（cm）,1.4
男,2016年度,188（cm）,0.7
男,2016年度,189（cm）,1.1
男,2016年度,190（cm）,0.4
男,2016年度,191（cm）,0.1
男,2016年度,192（cm）,0.0
男,2016年度,193（cm）,0.2
男,2016年度,194（cm）,0.1
男,2016年度,195（cm）,0.0
男,2016年度,196（cm）,－
男,2016年度,197（cm）,－
男,2016年度,198（cm）,－
男,2016年度,199（cm）,－
男,2016年度,200（cm）～,－
男,2015年度,計,1000.0
男,2015年度,～90（cm）,－
男,2015年度,91（cm）,－
男,2015年度,92（cm）,－
男,2015年度,93（cm）,－
男,2015年度,94（cm）,－
男,2015年度,95（cm）,－
男,2015年度,96（cm）,－
男,2015年度,97（cm）,－
男,2015年度,98（cm）,－
男,2015年度,99（cm）,－
男,2015年度,100（cm）,－
男,2015年度,101（cm）,－
男,2015年度,102（cm）,－
男,2015年度,103（cm）,－
男,2015年度,104（cm）,－
男,2015年度,105（cm）,－
男,2015年度,106（cm）,－
男,2015年度,107（cm）,－
男,2015年度,108（cm）,－
男,2015年度,109（cm）,－
男,2015年度,110（cm）,－
男,2015年度,111（cm）,－
男,2015年度,112（cm）,－
男,2015年度,113（cm）,－
男,2015年度,114（cm）,－
男,2015年度,115（cm）,－
男,2015年度,116（cm）,－
男,2015年度,117（cm）,－
男,2015年度,118（cm）,－
男,2015年度,119（cm）,－
男,2015年度,120（cm）,－
男,2015年度,121（cm）,－
男,2015年度,122（cm）,－
男,2015年度,123（cm）,－
男,2015年度,124（cm）,－
男,2015年度,125（cm）,－
男,2015年度,126（cm）,－
男,2015年度,127（cm）,－
男,2015年度,128（cm）,－
男,2015年度,129（cm）,－
男,2015年度,130（cm）,－
男,2015年度,131（cm）,－
男,2015年度,132（cm）,－
男,2015年度,133（cm）,－
男,2015年度,134（cm）,－
男,2015年度,135（cm）,－
男,2015年度,136（cm）,－
男,2015年度,137（cm）,－
男,2015年度,138（cm）,－
男,2015年度,139（cm）,－
男,2015年度,140（cm）,－
男,2015年度,141（cm）,－
男,2015年度,142（cm）,－
男,2015年度,143（cm）,－
男,2015年度,144（cm）,－
男,2015年度,145（cm）,－
男,2015年度,146（cm）,－
男,2015年度,147（cm）,－
男,2015年度,148（cm）,－
男,2015年度,149（cm）,0.2
男,2015年度,150（cm）,0.2
男,2015年度,151（cm）,0.3
男,2015年度,152（cm）,0.6
男,2015年度,153（cm）,0.8
男,2015年度,154（cm）,0.6
男,2015年度,155（cm）,1.5
男,2015年度,156（cm）,1.7
男,2015年度,157（cm）,4.4
男,2015年度,158（cm）,4.9
男,2015年度,159（cm）,8.3
男,2015年度,160（cm）,13.5
男,2015年度,161（cm）,18.4
男,2015年度,162（cm）,22.1
男,2015年度,163（cm）,28.3
男,2015年度,164（cm）,34.8
男,2015年度,165（cm）,42.0
男,2015年度,166（cm）,50.8
男,2015年度,167（cm）,57.3
男,2015年度,168（cm）,62.3
男,2015年度,169（cm）,61.4
男,2015年度,170（cm）,73.5
男,2015年度,171（cm）,71.2
男,2015年度,172（cm）,70.3
男,2015年度,173（cm）,65.1
男,2015年度,174（cm）,56.8
男,2015年度,175（cm）,48.8
男,2015年度,176（cm）,44.1
男,2015年度,177（cm）,38.4
男,2015年度,178（cm）,28.3
男,2015年度,179（cm）,23.5
男,2015年度,180（cm）,19.4
男,2015年度,181（cm）,13.8
男,2015年度,182（cm）,10.1
男,2015年度,183（cm）,7.2
男,2015年度,184（cm）,5.0
男,2015年度,185（cm）,4.0
男,2015年度,186（cm）,2.7
男,2015年度,187（cm）,1.0
男,2015年度,188（cm）,0.7
男,2015年度,189（cm）,0.4
男,2015年度,190（cm）,0.6
男,2015年度,191（cm）,0.3
男,2015年度,192（cm）,0.1
男,2015年度,193（cm）,0.0
男,2015年度,194（cm）,－
男,2015年度,195（cm）,0.0
男,2015年度,196（cm）,－
男,2015年度,197（cm）,0.1
男,2015年度,198（cm）,－
