性別,時間軸（年度次）,身長（90～200cm）,高等学校（17歳）
男,2015年度,199（cm）,－
男,2015年度,200（cm）～,－
女,2019年度,計,1000.0
女,2019年度,～90（cm）,－
女,2019年度,91（cm）,－
女,2019年度,92（cm）,－
女,2019年度,93（cm）,－
女,2019年度,94（cm）,－
女,2019年度,95（cm）,－
女,2019年度,96（cm）,－
女,2019年度,97（cm）,－
女,2019年度,98（cm）,－
女,2019年度,99（cm）,－
女,2019年度,100（cm）,－
女,2019年度,101（cm）,－
女,2019年度,102（cm）,－
女,2019年度,103（cm）,－
女,2019年度,104（cm）,－
女,2019年度,105（cm）,－
女,2019年度,106（cm）,－
女,2019年度,107（cm）,－
女,2019年度,108（cm）,－
女,2019年度,109（cm）,－
女,2019年度,110（cm）,－
女,2019年度,111（cm）,－
女,2019年度,112（cm）,－
女,2019年度,113（cm）,－
女,2019年度,114（cm）,－
女,2019年度,115（cm）,－
女,2019年度,116（cm）,－
女,2019年度,117（cm）,－
女,2019年度,118（cm）,－
女,2019年度,119（cm）,－
女,2019年度,120（cm）,－
女,2019年度,121（cm）,－
女,2019年度,122（cm）,－
女,2019年度,123（cm）,－
女,2019年度,124（cm）,－
女,2019年度,125（cm）,－
女,2019年度,126（cm）,－
女,2019年度,127（cm）,－
女,2019年度,128（cm）,－
女,2019年度,129（cm）,－
女,2019年度,130（cm）,－
女,2019年度,131（cm）,－
女,2019年度,132（cm）,－
女,2019年度,133（cm）,－
女,2019年度,134（cm）,－
女,2019年度,135（cm）,0.0
女,2019年度,136（cm）,－
女,2019年度,137（cm）,0.0
女,2019年度,138（cm）,0.2
女,2019年度,139（cm）,0.2
女,2019年度,140（cm）,0.3
女,2019年度,141（cm）,0.5
女,2019年度,142（cm）,0.6
女,2019年度,143（cm）,1.2
女,2019年度,144（cm）,2.2
女,2019年度,145（cm）,4.2
女,2019年度,146（cm）,5.7
女,2019年度,147（cm）,8.7
女,2019年度,148（cm）,13.8
女,2019年度,149（cm）,17.6
女,2019年度,150（cm）,26.2
女,2019年度,151（cm）,35.0
女,2019年度,152（cm）,40.4
女,2019年度,153（cm）,52.6
女,2019年度,154（cm）,56.0
女,2019年度,155（cm）,66.2
女,2019年度,156（cm）,69.3
女,2019年度,157（cm）,75.0
女,2019年度,158（cm）,73.0
女,2019年度,159（cm）,73.3
女,2019年度,160（cm）,74.7
女,2019年度,161（cm）,60.9
女,2019年度,162（cm）,53.3
女,2019年度,163（cm）,43.6
女,2019年度,164（cm）,38.0
女,2019年度,165（cm）,28.0
女,2019年度,166（cm）,22.9
女,2019年度,167（cm）,17.8
女,2019年度,168（cm）,12.9
女,2019年度,169（cm）,9.0
女,2019年度,170（cm）,6.5
女,2019年度,171（cm）,5.3
女,2019年度,172（cm）,1.9
女,2019年度,173（cm）,0.8
女,2019年度,174（cm）,0.7
女,2019年度,175（cm）,0.4
女,2019年度,176（cm）,0.4
女,2019年度,177（cm）,0.3
女,2019年度,178（cm）,0.0
女,2019年度,179（cm）,0.0
女,2019年度,180（cm）,0.1
女,2019年度,181（cm）,－
女,2019年度,182（cm）,－
女,2019年度,183（cm）,－
女,2019年度,184（cm）,－
女,2019年度,185（cm）,0.0
女,2019年度,186（cm）,－
女,2019年度,187（cm）,－
女,2019年度,188（cm）,－
女,2019年度,189（cm）,－
女,2019年度,190（cm）,－
女,2019年度,191（cm）,－
女,2019年度,192（cm）,－
女,2019年度,193（cm）,－
女,2019年度,194（cm）,－
女,2019年度,195（cm）,－
女,2019年度,196（cm）,－
女,2019年度,197（cm）,－
女,2019年度,198（cm）,－
女,2019年度,199（cm）,－
女,2019年度,200（cm）～,－
女,2018年度,計,1000.0
女,2018年度,～90（cm）,－
女,2018年度,91（cm）,－
女,2018年度,92（cm）,－
女,2018年度,93（cm）,－
女,2018年度,94（cm）,－
女,2018年度,95（cm）,－
女,2018年度,96（cm）,－
女,2018年度,97（cm）,－
女,2018年度,98（cm）,－
女,2018年度,99（cm）,－
女,2018年度,100（cm）,－
女,2018年度,101（cm）,－
女,2018年度,102（cm）,－
女,2018年度,103（cm）,－
女,2018年度,104（cm）,－
女,2018年度,105（cm）,－
女,2018年度,106（cm）,－
女,2018年度,107（cm）,－
女,2018年度,108（cm）,－
女,2018年度,109（cm）,－
女,2018年度,110（cm）,－
女,2018年度,111（cm）,－
女,2018年度,112（cm）,－
女,2018年度,113（cm）,－
女,2018年度,114（cm）,－
女,2018年度,115（cm）,－
女,2018年度,116（cm）,－
女,2018年度,117（cm）,－
女,2018年度,118（cm）,－
女,2018年度,119（cm）,－
女,2018年度,120（cm）,－
女,2018年度,121（cm）,－
女,2018年度,122（cm）,－
女,2018年度,123（cm）,－
女,2018年度,124（cm）,－
女,2018年度,125（cm）,－
女,2018年度,126（cm）,0.0
女,2018年度,127（cm）,－
女,2018年度,128（cm）,－
女,2018年度,129（cm）,－
女,2018年度,130（cm）,－
女,2018年度,131（cm）,－
女,2018年度,132（cm）,－
女,2018年度,133（cm）,－
女,2018年度,134（cm）,－
女,2018年度,135（cm）,－
女,2018年度,136（cm）,0.0
女,2018年度,137（cm）,－
女,2018年度,138（cm）,0.1
女,2018年度,139（cm）,0.1
女,2018年度,140（cm）,0.1
女,2018年度,141（cm）,0.7
女,2018年度,142（cm）,0.6
女,2018年度,143（cm）,0.7
女,2018年度,144（cm）,2.6
女,2018年度,145（cm）,3.0
女,2018年度,146（cm）,4.5
女,2018年度,147（cm）,9.1
女,2018年度,148（cm）,13.1
女,2018年度,149（cm）,20.8
女,2018年度,150（cm）,26.7
女,2018年度,151（cm）,33.2
女,2018年度,152（cm）,44.4
女,2018年度,153（cm）,50.3
女,2018年度,154（cm）,59.3
女,2018年度,155（cm）,66.6
女,2018年度,156（cm）,71.5
女,2018年度,157（cm）,69.9
女,2018年度,158（cm）,78.2
女,2018年度,159（cm）,72.9
女,2018年度,160（cm）,72.4
女,2018年度,161（cm）,61.0
女,2018年度,162（cm）,50.7
女,2018年度,163（cm）,45.5
女,2018年度,164（cm）,37.4
女,2018年度,165（cm）,30.6
女,2018年度,166（cm）,21.9
女,2018年度,167（cm）,16.3
女,2018年度,168（cm）,12.2
女,2018年度,169（cm）,8.4
女,2018年度,170（cm）,5.9
女,2018年度,171（cm）,3.2
女,2018年度,172（cm）,1.9
女,2018年度,173（cm）,1.3
女,2018年度,174（cm）,0.5
女,2018年度,175（cm）,1.2
女,2018年度,176（cm）,0.3
女,2018年度,177（cm）,0.2
女,2018年度,178（cm）,0.2
女,2018年度,179（cm）,0.1
女,2018年度,180（cm）,0.0
女,2018年度,181（cm）,0.1
女,2018年度,182（cm）,－
女,2018年度,183（cm）,－
女,2018年度,184（cm）,－
女,2018年度,185（cm）,－
女,2018年度,186（cm）,－
女,2018年度,187（cm）,－
女,2018年度,188（cm）,－
女,2018年度,189（cm）,－
女,2018年度,190（cm）,－
女,2018年度,191（cm）,－
女,2018年度,192（cm）,－
女,2018年度,193（cm）,－
女,2018年度,194（cm）,－
女,2018年度,195（cm）,－
女,2018年度,196（cm）,－
女,2018年度,197（cm）,－
女,2018年度,198（cm）,－
女,2018年度,199（cm）,－
女,2018年度,200（cm）～,－
女,2017年度,計,1000.0
女,2017年度,～90（cm）,－
女,2017年度,91（cm）,－
女,2017年度,92（cm）,－
女,2017年度,93（cm）,－
女,2017年度,94（cm）,－
女,2017年度,95（cm）,－
女,2017年度,96（cm）,－
女,2017年度,97（cm）,－
女,2017年度,98（cm）,－
女,2017年度,99（cm）,－
女,2017年度,100（cm）,－
女,2017年度,101（cm）,－
女,2017年度,102（cm）,－
女,2017年度,103（cm）,－
女,2017年度,104（cm）,－
女,2017年度,105（cm）,－
女,2017年度,106（cm）,－
女,2017年度,107（cm）,－
女,2017年度,108（cm）,－
女,2017年度,109（cm）,－
女,2017年度,110（cm）,－
女,2017年度,111（cm）,－
女,2017年度,112（cm）,－
女,2017年度,113（cm）,－
女,2017年度,114（cm）,－
女,2017年度,115（cm）,－
女,2017年度,116（cm）,－
女,2017年度,117（cm）,－
女,2017年度,118（cm）,－
女,2017年度,119（cm）,－
女,2017年度,120（cm）,－
女,2017年度,121（cm）,－
女,2017年度,122（cm）,－
女,2017年度,123（cm）,－
女,2017年度,124（cm）,－
女,2017年度,125（cm）,－
女,2017年度,126（cm）,－
女,2017年度,127（cm）,－
女,2017年度,128（cm）,－
女,2017年度,129（cm）,－
女,2017年度,130（cm）,－
女,2017年度,131（cm）,－
女,2017年度,132（cm）,－
女,2017年度,133（cm）,－
女,2017年度,134（cm）,－
女,2017年度,135（cm）,0.0
女,2017年度,136（cm）,0.0
女,2017年度,137（cm）,－
女,2017年度,138（cm）,0.0
女,2017年度,139（cm）,0.2
女,2017年度,140（cm）,0.5
女,2017年度,141（cm）,0.8
女,2017年度,142（cm）,0.8
女,2017年度,143（cm）,1.6
女,2017年度,144（cm）,2.5
女,2017年度,145（cm）,3.9
女,2017年度,146（cm）,6.2
女,2017年度,147（cm）,8.5
女,2017年度,148（cm）,13.0
女,2017年度,149（cm）,20.0
女,2017年度,150（cm）,25.7
女,2017年度,151（cm）,28.2
女,2017年度,152（cm）,44.7
女,2017年度,153（cm）,56.4
女,2017年度,154（cm）,62.5
女,2017年度,155（cm）,63.9
女,2017年度,156（cm）,67.0
女,2017年度,157（cm）,69.3
女,2017年度,158（cm）,76.9
女,2017年度,159（cm）,73.6
女,2017年度,160（cm）,70.9
女,2017年度,161（cm）,62.2
女,2017年度,162（cm）,55.7
女,2017年度,163（cm）,45.2
女,2017年度,164（cm）,38.6
女,2017年度,165（cm）,28.4
女,2017年度,166（cm）,21.2
女,2017年度,167（cm）,14.5
女,2017年度,168（cm）,12.7
女,2017年度,169（cm）,9.0
女,2017年度,170（cm）,5.6
女,2017年度,171（cm）,3.3
女,2017年度,172（cm）,2.4
女,2017年度,173（cm）,1.8
女,2017年度,174（cm）,1.3
女,2017年度,175（cm）,0.4
女,2017年度,176（cm）,0.3
女,2017年度,177（cm）,0.2
女,2017年度,178（cm）,0.1
女,2017年度,179（cm）,0.0
女,2017年度,180（cm）,－
女,2017年度,181（cm）,－
女,2017年度,182（cm）,－
女,2017年度,183（cm）,－
女,2017年度,184（cm）,－
女,2017年度,185（cm）,－
女,2017年度,186（cm）,－
女,2017年度,187（cm）,－
女,2017年度,188（cm）,－
女,2017年度,189（cm）,－
女,2017年度,190（cm）,－
女,2017年度,191（cm）,－
女,2017年度,192（cm）,－
女,2017年度,193（cm）,－
女,2017年度,194（cm）,－
女,2017年度,195（cm）,－
女,2017年度,196（cm）,－
女,2017年度,197（cm）,－
女,2017年度,198（cm）,－
女,2017年度,199（cm）,－
女,2017年度,200（cm）～,－
女,2016年度,計,1000.0
女,2016年度,～90（cm）,－
女,2016年度,91（cm）,－
女,2016年度,92（cm）,－
女,2016年度,93（cm）,－
女,2016年度,94（cm）,－
女,2016年度,95（cm）,－
女,2016年度,96（cm）,－
女,2016年度,97（cm）,－
女,2016年度,98（cm）,－
女,2016年度,99（cm）,－
女,2016年度,100（cm）,－
女,2016年度,101（cm）,－
女,2016年度,102（cm）,－
女,2016年度,103（cm）,－
女,2016年度,104（cm）,－
女,2016年度,105（cm）,－
女,2016年度,106（cm）,－
女,2016年度,107（cm）,－
女,2016年度,108（cm）,－
女,2016年度,109（cm）,－
女,2016年度,110（cm）,－
女,2016年度,111（cm）,－
女,2016年度,112（cm）,－
女,2016年度,113（cm）,－
女,2016年度,114（cm）,－
女,2016年度,115（cm）,－
女,2016年度,116（cm）,－
女,2016年度,117（cm）,－
女,2016年度,118（cm）,－
女,2016年度,119（cm）,－
女,2016年度,120（cm）,－
女,2016年度,121（cm）,－
女,2016年度,122（cm）,－
女,2016年度,123（cm）,－
女,2016年度,124（cm）,－
女,2016年度,125（cm）,－
女,2016年度,126（cm）,－
女,2016年度,127（cm）,－
女,2016年度,128（cm）,－
女,2016年度,129（cm）,－
女,2016年度,130（cm）,－
女,2016年度,131（cm）,－
女,2016年度,132（cm）,－
女,2016年度,133（cm）,－
女,2016年度,134（cm）,－
女,2016年度,135（cm）,0.1
女,2016年度,136（cm）,－
女,2016年度,137（cm）,0.1
女,2016年度,138（cm）,0.2
女,2016年度,139（cm）,0.0
女,2016年度,140（cm）,0.3
女,2016年度,141（cm）,0.4
女,2016年度,142（cm）,0.7
女,2016年度,143（cm）,1.2
女,2016年度,144（cm）,3.3
女,2016年度,145（cm）,4.3
女,2016年度,146（cm）,6.6
女,2016年度,147（cm）,9.9
女,2016年度,148（cm）,12.9
女,2016年度,149（cm）,18.5
女,2016年度,150（cm）,29.8
女,2016年度,151（cm）,32.0
女,2016年度,152（cm）,39.8
女,2016年度,153（cm）,51.7
女,2016年度,154（cm）,57.9
女,2016年度,155（cm）,68.0
女,2016年度,156（cm）,73.7
女,2016年度,157（cm）,75.1
女,2016年度,158（cm）,76.0
女,2016年度,159（cm）,63.4
女,2016年度,160（cm）,68.8
女,2016年度,161（cm）,64.3
女,2016年度,162（cm）,53.0
女,2016年度,163（cm）,44.7
女,2016年度,164（cm）,36.6
女,2016年度,165（cm）,29.9
女,2016年度,166（cm）,22.8
女,2016年度,167（cm）,18.0
女,2016年度,168（cm）,11.1
女,2016年度,169（cm）,8.8
女,2016年度,170（cm）,5.9
女,2016年度,171（cm）,3.7
女,2016年度,172（cm）,2.9
女,2016年度,173（cm）,1.2
女,2016年度,174（cm）,0.8
女,2016年度,175（cm）,0.8
女,2016年度,176（cm）,0.2
女,2016年度,177（cm）,0.5
女,2016年度,178（cm）,0.2
女,2016年度,179（cm）,0.1
女,2016年度,180（cm）,0.0
女,2016年度,181（cm）,0.0
女,2016年度,182（cm）,－
女,2016年度,183（cm）,0.0
女,2016年度,184（cm）,－
女,2016年度,185（cm）,－
女,2016年度,186（cm）,－
女,2016年度,187（cm）,－
女,2016年度,188（cm）,－
女,2016年度,189（cm）,－
女,2016年度,190（cm）,－
女,2016年度,191（cm）,－
女,2016年度,192（cm）,－
女,2016年度,193（cm）,－
女,2016年度,194（cm）,－
女,2016年度,195（cm）,－
女,2016年度,196（cm）,0.0
女,2016年度,197（cm）,－
女,2016年度,198（cm）,－
女,2016年度,199（cm）,－
女,2016年度,200（cm）～,－
女,2015年度,計,1000.0
女,2015年度,～90（cm）,－
女,2015年度,91（cm）,－
女,2015年度,92（cm）,－
女,2015年度,93（cm）,－
女,2015年度,94（cm）,－
女,2015年度,95（cm）,－
女,2015年度,96（cm）,－
女,2015年度,97（cm）,－
女,2015年度,98（cm）,－
女,2015年度,99（cm）,－
女,2015年度,100（cm）,－
女,2015年度,101（cm）,－
女,2015年度,102（cm）,－
女,2015年度,103（cm）,－
女,2015年度,104（cm）,－
女,2015年度,105（cm）,－
女,2015年度,106（cm）,－
女,2015年度,107（cm）,－
女,2015年度,108（cm）,－
女,2015年度,109（cm）,－
女,2015年度,110（cm）,－
女,2015年度,111（cm）,－
女,2015年度,112（cm）,－
女,2015年度,113（cm）,－
女,2015年度,114（cm）,－
女,2015年度,115（cm）,－
女,2015年度,116（cm）,－
女,2015年度,117（cm）,－
女,2015年度,118（cm）,－
女,2015年度,119（cm）,－
女,2015年度,120（cm）,－
女,2015年度,121（cm）,－
女,2015年度,122（cm）,－
女,2015年度,123（cm）,－
女,2015年度,124（cm）,－
女,2015年度,125（cm）,－
女,2015年度,126（cm）,－
女,2015年度,127（cm）,－
女,2015年度,128（cm）,－
女,2015年度,129（cm）,－
女,2015年度,130（cm）,0.0
女,2015年度,131（cm）,0.0
女,2015年度,132（cm）,－
女,2015年度,133（cm）,－
女,2015年度,134（cm）,－
女,2015年度,135（cm）,－
女,2015年度,136（cm）,－
女,2015年度,137（cm）,0.0
女,2015年度,138（cm）,0.1
女,2015年度,139（cm）,0.2
女,2015年度,140（cm）,0.3
女,2015年度,141（cm）,0.4
女,2015年度,142（cm）,1.0
女,2015年度,143（cm）,1.2
女,2015年度,144（cm）,1.8
女,2015年度,145（cm）,3.7
女,2015年度,146（cm）,5.2
女,2015年度,147（cm）,8.8
女,2015年度,148（cm）,14.0
女,2015年度,149（cm）,18.9
女,2015年度,150（cm）,26.1
女,2015年度,151（cm）,32.4
女,2015年度,152（cm）,42.0
女,2015年度,153（cm）,50.0
女,2015年度,154（cm）,56.7
女,2015年度,155（cm）,65.4
女,2015年度,156（cm）,70.3
女,2015年度,157（cm）,75.9
女,2015年度,158（cm）,75.5
女,2015年度,159（cm）,68.1
女,2015年度,160（cm）,69.8
女,2015年度,161（cm）,65.6
女,2015年度,162（cm）,52.0
女,2015年度,163（cm）,47.6
女,2015年度,164（cm）,39.9
女,2015年度,165（cm）,29.9
女,2015年度,166（cm）,22.7
女,2015年度,167（cm）,15.6
女,2015年度,168（cm）,12.4
女,2015年度,169（cm）,8.0
女,2015年度,170（cm）,6.2
女,2015年度,171（cm）,4.1
女,2015年度,172（cm）,2.9
女,2015年度,173（cm）,1.9
女,2015年度,174（cm）,0.9
女,2015年度,175（cm）,0.9
女,2015年度,176（cm）,0.6
女,2015年度,177（cm）,0.4
女,2015年度,178（cm）,0.3
女,2015年度,179（cm）,0.1
女,2015年度,180（cm）,0.1
女,2015年度,181（cm）,－
女,2015年度,182（cm）,0.0
女,2015年度,183（cm）,－
女,2015年度,184（cm）,－
女,2015年度,185（cm）,－
女,2015年度,186（cm）,－
女,2015年度,187（cm）,－
女,2015年度,188（cm）,－
女,2015年度,189（cm）,－
女,2015年度,190（cm）,－
女,2015年度,191（cm）,－
女,2015年度,192（cm）,－
女,2015年度,193（cm）,－
女,2015年度,194（cm）,－
女,2015年度,195（cm）,－
女,2015年度,196（cm）,－
女,2015年度,197（cm）,－
女,2015年度,198（cm）,－
女,2015年度,199（cm）,－
女,2015年度,200（cm）～,－